epoch,macro
0,0.20426929753013973
1,0.0
2,0.3061120367253864
3,0.4253286942475699
4,0.0007645399108036771
5,0.3624797734081585
6,0.24562382960707393
7,0.5633150897579455
8,0.36370910433130604
9,0.545640648341287
10,0.6148847677723573
11,0.8064327530572282
12,0.8419748260881683
13,0.8587190830599566
14,0.8629911856712911
15,0.8717918503654423
16,0.8750317829624334
17,0.8807440358037038
18,0.8826454395337396
19,0.8850839721232031
20,0.8863259156487135
21,0.8873246720271373
22,0.889529787730176
23,0.8882785771739092
24,0.8889024315060341
25,0.8856853020585278
26,0.885981965941483
27,0.862746079288387
28,0.8103041155507726
29,0.6800542411612216
30,0.40850507348759146
31,0.5666389799103366
32,0.7181541516633864
33,0.8785609556783716
34,0.8813978328978205
35,0.8838808996949327
36,0.8813986585350524
37,0.8764276120656718
38,0.8692469340351833
39,0.8575879848028413
