epoch,macro
0,0.14253239967561443
1,0.0
2,0.0799976052479533
3,0.3103474301807046
4,0.003533704628384866
5,0.0852989654263315
6,0.269836964507131
7,0.6486256989614065
8,0.7455124514507661
9,0.8075036242872736
10,0.8248717868820004
11,0.8375678868929096
12,0.8409132700140814
13,0.8482516235462022
14,0.8518225791624978
15,0.8563232755771006
16,0.8592577444498936
17,0.8592045437262271
18,0.8613028521468372
19,0.8608987386994669
20,0.8629408565411006
21,0.862700623399227
22,0.8633851605322015
23,0.8631311013701806
24,0.8617585950690071
25,0.860338533926055
26,0.8610649486307016
27,0.8607986846092311
28,0.8608852344692945
29,0.8604507384927761
30,0.8599842498355784
31,0.8607460519606777
32,0.8598601311711516
33,0.8597739284237409
34,0.8600241865636956
35,0.8595024203828748
36,0.8590006211595809
37,0.8588304134578454
38,0.8584865710742801
39,0.8582131367675588
