1:	macro: 0.14634624731014542 	micro: 0.16752605729543033 	accuracy: 0.17065928033138694
2:	macro: 0.0 	micro: 0 	accuracy: 0
3:	macro: 0.245845508190533 	micro: 0.40935096893263617 	accuracy: 0.4151070519538853
4:	macro: 0.09250624003032312 	micro: 0.15568862275449102 	accuracy: 0.09667115835703947
5:	macro: 0.20415632881118015 	micro: 0.3766692660103324 	accuracy: 0.3857114338473823
6:	macro: 0.0028721544857203845 	micro: 0.0037503857200503216 	accuracy: 0.001971352996955632
7:	macro: 0.2969501999630881 	micro: 0.4382972840499202 	accuracy: 0.43512002794829563
8:	macro: 0.41266109538768303 	micro: 0.5103055969728483 	accuracy: 0.5081599041772721
9:	macro: 0.5744274211410462 	micro: 0.6237579674558847 	accuracy: 0.611718321105954
10:	macro: 0.6999739347549154 	micro: 0.7132181339689161 	accuracy: 0.7168488296651195
11:	macro: 0.7823779004512443 	micro: 0.7861011956765932 	accuracy: 0.7858461845585667
12:	macro: 0.8118127277100571 	micro: 0.811326363771491 	accuracy: 0.8172381094974298
13:	macro: 0.8224145446150122 	micro: 0.8231756563660988 	accuracy: 0.8265957977741178
14:	macro: 0.8312765859384207 	micro: 0.8301512767460014 	accuracy: 0.836003393721615
15:	macro: 0.8351582390268998 	micro: 0.8339560344078548 	accuracy: 0.8382741927434246
16:	macro: 0.840210287526585 	micro: 0.8382713906726501 	accuracy: 0.8436891750262016
17:	macro: 0.8429537299433182 	micro: 0.8413437077299184 	accuracy: 0.8459100663772022
18:	macro: 0.8461661424211309 	micro: 0.8444185383155781 	accuracy: 0.8495283725108549
19:	macro: 0.8472786189484406 	micro: 0.845485464611107 	accuracy: 0.8498527723711135
20:	macro: 0.848600048964466 	micro: 0.8472108539821911 	accuracy: 0.8523481559115637
21:	macro: 0.8491401456672835 	micro: 0.8478212290502793 	accuracy: 0.8520736637221141
22:	macro: 0.8517827515981342 	micro: 0.8508210547204446 	accuracy: 0.8559165543744074
23:	macro: 0.8504513059807952 	micro: 0.8497925517378451 	accuracy: 0.8535459400109797
24:	macro: 0.8516568389360731 	micro: 0.8511905500477709 	accuracy: 0.8559165543744074
25:	macro: 0.8505983567056795 	micro: 0.8499881939180036 	accuracy: 0.8533712631631482
26:	macro: 0.8516274704531804 	micro: 0.8511805745214389 	accuracy: 0.8554923391725309
27:	macro: 0.8501598577342451 	micro: 0.8495817225820086 	accuracy: 0.8527723711134402
28:	macro: 0.8519298160403979 	micro: 0.8517114990370876 	accuracy: 0.8552927084892948
29:	macro: 0.8517385360967922 	micro: 0.8513256516388858 	accuracy: 0.8545440934271598
30:	macro: 0.85108178110174 	micro: 0.8510447872512338 	accuracy: 0.8542196935669012
31:	macro: 0.8511031711223694 	micro: 0.8510749412481503 	accuracy: 0.8539951090482607
32:	macro: 0.8506687872634421 	micro: 0.8506764822920811 	accuracy: 0.8535209861755751
33:	macro: 0.850541209415071 	micro: 0.8504183710260969 	accuracy: 0.8534211708339572
34:	macro: 0.8506054385962273 	micro: 0.8503165304777186 	accuracy: 0.8530219094674851
35:	macro: 0.8500991378219703 	micro: 0.8499950238853502 	accuracy: 0.8524978789239906
36:	macro: 0.8504524021332717 	micro: 0.8504540365717129 	accuracy: 0.8530219094674851
37:	macro: 0.8505514506901534 	micro: 0.8504517060302133 	accuracy: 0.8527224634426311
38:	macro: 0.8505858046963087 	micro: 0.850476593414798 	accuracy: 0.8527474172780356
39:	macro: 0.850623912478401 	micro: 0.8505252153133868 	accuracy: 0.8526476019364176
40:	macro: 0.8507302463917442 	micro: 0.8506963025649323 	accuracy: 0.8528721864550581
prediction:	macro: 0.8537328655667743 	micro: 0.85383358907093 	accuracy: 0.8565895322276293
